8972	6626.36
8832	6577.61
8704	6368.55
8576	5954.15
8448	6210.92
8320	6074.16
8192	5991.05
8064	5878.82
7936	5813.41
7808	8430.77
7680	7947.23
7552	8029.98
7424	7501.82
7296	7863.86
7168	7719.47
7040	7639.64
6912	7596.93
6784	7336.1
6656	7249.25
6528	7079.73
6400	7000.85
6272	7053.67
6144	6758.27
6016	6505.93
5888	6226.51
5760	6309.34
5632	6051.74
5504	6218.98
5376	6021.27
5248	5572.32
5120	5557.68
4992	5521.88
4864	5479.51
4736	5376.4
4608	5334.01
4480	5030.38
4352	4914.76
4224	4871.96
4096	4586.02
3968	4607.03
3840	4256.17
3712	5465.74
3584	5336.34
3456	5098.88
3328	4860.69
3200	4617.11
3072	4651.97
2944	4362.18
2816	4139.55
2688	4064.66
2560	3903.4
2432	3619.46
2304	3486.64
2176	3297.45
2048	3168.2
1920	2955.94
1792	2803.74
1664	1826.34
1536	1584
1472	3400.99
1408	3288.16
1344	3062.6
1280	3001.84
1216	2799.03
1152	2708.14
1088	2560.27
1024	2372.12
960	2232.7
896	2035.6
832	1952.35
768	1805.81
704	1663.72
640	1521.53
576	1420.86
512	1234.46
448	1088.87
384	920.919
320	792.343
256	575.757
192	475.549
128	327.592
64	157.481
0	7.77848
